ID, Device, Mode, ExpPart, Round, Trial, Block, Trial in Block, Text Length (lines), Visible Lines, Frame Height, Distance, Direction, Target Line, Line Height, Hit, T_Trial, T_Scroll, T_FineTune, T_Select, T_StartScrolling, errorDistance(lines), inFrameCount, visibleCount, Start direction, Finger count, FP_X-MIN, FP_Y-MIN, FP_X-MAX, FP_Y-MAX, ScrollareaX, ScrollareaY, Px_mm
12,MOOSE,Rubbing,1,3,19,3,3,854,32,3.0,300,UP,247,18.0,true,5856,5056,1391,347,453,0,1,1,DOWN,1.0,299.496,588.0,432.0,1417.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,20,3,4,854,32,6.0,300,UP,192,18.0,true,6427,5104,1296,381,942,0,2,1,DOWN,1.0,344.645,638.0,513.511,1502.318,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,21,3,5,854,32,6.0,100,DOWN,644,18.0,true,3944,2848,1951,427,669,1,1,1,DOWN,1.0,444.0,665.0,534.0,1376.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,22,3,6,854,32,3.0,50,DOWN,610,18.0,true,7027,4959,1327,1084,984,0,1,2,DOWN,1.0,323.0,562.0,527.0,1298.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,23,3,7,854,32,3.0,200,UP,197,18.0,true,9523,5631,2640,874,3018,0,1,1,UP,1.0,321.69,712.5,531.0,1723.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,24,3,8,854,32,6.0,50,UP,555,18.0,true,4552,2752,1104,734,1066,0,1,1,UP,1.0,356.0,804.0,524.0,1606.0,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,25,4,1,854,32,6.0,200,UP,16,18.0,true,6780,4991,1439,449,1340,-1,1,1,DOWN,1.0,336.0,686.208,531.5,1450.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,26,4,2,854,32,3.0,300,DOWN,638,18.0,true,9568,8767,1280,203,598,0,1,2,DOWN,1.0,445.0,659.0,638.0,1536.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,27,4,3,854,32,6.0,50,DOWN,642,18.0,true,5054,3583,2848,385,1086,0,2,1,DOWN,1.0,422.385,649.0,576.0,1365.5,1080.0,1661.0,4.331,
12,MOOSE,Rubbing,1,3,28,4,4,854,32,3.0,100,UP,587,18.0,true,5525,4671,2224,301,553,0,2,2,DOWN,1.0,389.0,643.0,592.0,1557.0,1080.0,1661.0,4.331,
